Geneid,Length,patr1_T1,patr1_T2,patr1_T3,esgTS_T1,esgTS_T2,esgTS_T3
CG15530,2068,0,0,0,0,0,0
Bet5,1051,42,72,47,51,55,52
lncRNA:CR44262,554,0,0,0,1,0,0
CG9747,2318,3,4,3,0,1,3
CG15531,1158,15,14,19,17,7,18
CG9743,1733,642,772,751,845,801,769
RpS7,1139,751,847,700,1034,928,938
snoRNA:Psi28S-2149,144,12,20,8,28,27,25
snoRNA:Psi18S-1377e,137,60,62,28,82,67,80
snoRNA:Psi18S-1377d,136,64,66,40,67,75,76
snoRNA:Psi18S-1377c,137,47,38,18,55,51,51
snoRNA:Psi18S-1377b,138,71,59,33,82,64,69
snoRNA:Psi18S-1377a,139,67,54,27,87,77,87
snoRNA:Psi28S-2626,142,39,39,17,52,46,49
Anp,373,0,0,0,0,0,0
CecA1,339,0,0,0,0,0,0
Cec-Psi1,166,0,0,0,0,0,0
CecA2,355,1,0,0,0,0,0
Cec2,201,0,0,0,1,0,0
CecB,425,0,0,0,0,0,0
CecC,386,0,0,0,0,0,0
CG43448,529,0,0,0,0,0,0
CG9737,1635,0,0,0,0,0,0
CG9733,1467,1,1,2,0,1,1
tRNA:Leu-TAG-1-1,80,1,0,0,0,0,0
tRNA:Leu-TAG-1-2,80,0,0,0,1,0,0
CG34299,799,0,0,0,0,0,0
CG9682,1649,2,4,5,3,6,2
CG18404,607,6,4,3,4,1,1
lncRNA:CR46113,794,1,3,1,0,0,0
hdc,15063,4019,5224,5014,4726,5115,4659
CG34300,641,42,96,51,76,83,59
lncRNA:CR46114,884,15,23,19,22,31,23
Fer1HCH,2376,642,818,726,849,721,788
Fer2LCH,1648,591,775,714,757,792,762
lncRNA:CR45570,561,1,4,2,2,2,3
CG42740,4135,0,0,0,0,0,0
CG2217,4135,0,0,0,0,0,0
CG15535,828,49,76,49,53,61,63
mRpS18C,528,62,116,87,53,73,65
CG15536,664,35,40,49,38,46,40
CG2218,2529,125,226,145,272,313,273
CG15533,2203,3,1,0,2,2,5
CG15534,2164,1,1,0,1,7,6
CG15537,1600,0,1,0,0,0,0
Osi23,853,1,1,1,4,0,0
aralar1,3376,257,397,334,479,515,387
CG2224,2140,101,160,129,173,166,153
CDase,2951,757,991,1018,834,800,707
PH4alphaEFB,2248,236,326,238,222,187,172
spdo,2087,194,339,282,227,219,155
Jon99Fii,913,26,15,19,87,24,44
Jon99Fi,933,62,22,22,153,25,67
PH4alphaSG2,1683,0,0,0,0,0,0
PH4alphaMP,1882,0,0,0,0,0,0
PH4alphaNE1,1737,0,0,0,0,0,0
CG31371,1748,2,0,0,0,0,0
PH4alphaSG1,1708,0,0,0,0,2,1
CG15539,1615,0,0,0,0,0,0
mir-4908,59,0,0,0,0,0,0
CG34041,1797,0,0,0,0,0,0
PH4alphaNE2,1782,0,0,0,0,0,0
CG31524,1691,0,0,0,0,0,0
CG9698,1752,0,0,0,0,0,0
jdp,2178,1,1,1,1,1,1
lncRNA:CR45552,1428,0,0,0,0,0,0
lncRNA:CR45553,1390,0,0,0,1,0,1
tmod,8320,604,850,744,877,974,832
CG34155,2619,0,0,0,0,0,0
CG9702,2318,0,0,0,0,0,0
Rpt6R,1445,1,1,0,0,0,0
CG9717,2679,1,0,0,1,0,0
CG2246,2431,202,318,251,450,430,403
CG31019,1980,7,10,9,41,34,29
CG31021,1496,0,0,0,0,0,0
PH4alphaNE3,1627,0,0,0,0,0,0
CG31016,3923,0,0,1,0,0,0
lncRNA:CR45571,3451,0,0,0,0,0,0
CG44954,772,0,0,0,0,0,0
lncRNA:CR44136,764,0,0,0,0,0,0
CG2267,1734,0,0,0,0,0,0
lncRNA:CR46236,1044,0,0,0,0,0,0
CG31013,1766,0,0,0,1,0,0
PH4alphaPV,1949,0,3,0,6,2,1
CG34432,723,0,0,0,0,0,0
CG34433,898,0,0,0,0,0,0
lncRNA:CR45191,557,0,0,0,0,0,0
Spn100A,2038,0,0,0,1,0,0
CG12069,1750,0,0,0,0,0,0
Pka-C2,1349,0,1,0,0,0,0
lncRNA:CR46115,3385,0,0,1,0,0,0
CG31010,1360,0,0,0,0,0,0
lncRNA:CR46219,1658,0,0,0,0,0,0
eIF4H2,1906,0,0,0,0,0,0
CG11313,1222,0,0,0,0,0,0
CG15543,1595,0,0,0,0,0,0
Npc2g,659,0,0,0,0,0,0
Npc2h,812,0,0,0,0,0,0
lncRNA:CR43238,488,0,0,0,0,0,0
zfh1,6915,0,4,0,3,3,1
asRNA:CR45189,929,0,0,0,0,0,0
wts,5803,301,526,457,471,541,377
mir-1013,61,0,0,0,0,0,0
dj-1beta,733,85,130,93,121,100,111
cindr,4662,1522,1996,1707,1583,1617,1567
CG15544,4209,3,4,1,1,0,1
tll,1965,4,9,5,0,0,0
Cpr100A,1378,0,0,6,1,0,1
CG15545,1267,0,0,3,0,0,0
CG15546,1822,1,0,0,0,0,1
CG12071,2640,2,3,5,5,6,15
CG15547,1601,18,20,15,29,24,34
Sap-r,3527,1295,1589,1391,1878,1802,1739
Cyp4c3,1906,1,0,0,0,0,0
CG33483,788,1,1,3,2,2,2
lncRNA:CR46220,565,0,1,1,0,1,0
Ptx1,3571,312,490,389,552,674,554
lncRNA:CR44041,702,10,15,13,15,32,16
CG15549,1112,0,0,0,0,1,4
CG15550,514,1,0,0,1,0,0
CG15548,2608,0,0,1,2,0,0
Ctr1C,1031,1,0,0,0,0,0
5-HT7,4486,12,33,25,4,3,3
lncRNA:CR46116,327,0,0,0,0,0,0
CG31008,529,0,0,1,0,0,0
CG31007,758,0,1,0,0,1,0
lncRNA:CR46117,813,0,1,1,1,0,0
CG33773,605,2,0,0,1,0,0
CanA1,3064,4,5,3,1,0,4
CG33920,543,0,0,0,1,1,2
CR46406,267,0,0,0,0,0,0
Alp4,2412,10,25,14,2,3,7
mir-4948,106,0,0,0,0,0,0
Chchd3,940,131,221,182,215,224,184
dco,4783,654,957,729,796,903,668
Sox100B,2049,727,970,884,1084,978,890
CG11317,1804,0,5,6,22,6,12
CG15553,1784,4,4,4,6,8,8
CG11318,2764,104,102,104,273,226,303
Prosalpha3T,889,0,0,0,0,1,0
CG15554,801,0,2,0,0,1,0
CG15556,2643,3,5,2,9,8,9
lncRNA:CR46207,492,0,0,0,0,0,0
lncRNA:CR43458,721,1,1,0,0,0,0
Gycbeta100B,4066,4,11,3,0,1,2
stops,2297,1,6,3,8,7,7
mesh,5175,452,700,438,299,264,169
bnk,1028,2,6,3,5,4,3
CG1544,2932,3,5,2,5,5,5
chp,4872,11,15,13,24,34,21
Zwilch,2232,48,69,41,89,87,81
CG1542,1207,125,146,109,158,151,121
CG15561,1167,35,80,70,68,102,70
ATPsynC,1980,1049,1309,1153,1607,1675,1599
RNaseP:RNA,299,244,227,147,371,355,376
mir-4949,99,0,0,0,0,0,0
CG12054,6238,311,422,393,825,904,761
CG15563,652,4,5,1,2,2,3
CG15564,1822,3,8,4,5,2,1
qless,3218,157,227,195,221,226,169
mRpL32,704,92,149,112,112,119,107
CG1750,1075,16,53,44,25,31,23
spn-F,1465,102,136,122,130,144,109
CAH6,1101,0,0,0,1,0,0
CAH16,1042,0,1,0,0,0,0
CAH5,1060,0,1,0,0,0,0
ppk24,1788,0,1,0,0,0,0
pHCl-2,3815,3,1,2,1,2,3
CG34347,6905,307,505,469,1222,1461,1161
lncRNA:CR46118,608,3,3,4,11,13,8
gskt,1772,1,2,0,8,14,11
CG1607,3183,0,4,4,7,11,10
CG31204,1634,0,0,0,1,0,0
Ugt35D1,1663,0,0,0,1,0,0
Gcn2,5743,359,579,410,523,510,397
PNPase,3127,190,279,231,221,268,221
Gprk2,4690,302,461,360,437,515,417
Loxl1,1435,2,6,3,6,7,9
CG11334,1732,129,201,183,201,204,147
CG11333,715,4,5,3,3,0,3
lncRNA:CR45554,876,0,0,0,0,1,0
lncRNA:CR45555,698,0,1,0,0,0,0
lncRNA:CR45572,1601,0,0,0,0,0,0
mey,3385,1,0,0,2,0,0
lncRNA:CR45573,3401,0,1,0,0,0,0
nyo,3812,1,2,1,0,0,0
lncRNA:CR46120,995,0,0,0,0,0,0
lncRNA:CR46119,299,0,1,0,1,0,1
gammaCOP,3276,559,760,606,633,671,547
pygo,4507,238,432,326,431,468,390
rod,6479,258,435,264,563,543,440
asRNA:CR45190,1614,1,4,0,0,3,2
CG1635,1548,11,15,24,14,15,16
CG1638,1567,4,3,1,2,5,3
CG1774,1860,7,10,0,19,13,18
RpL6,967,833,896,817,1154,1058,1070
CycG,6143,2044,2575,2330,3337,3157,2881
Med,3425,215,308,227,289,327,267
CG11539,826,16,48,28,21,13,20
CG1792,1344,20,40,24,60,60,50
pasha,3214,75,128,94,148,165,113
kek6,6616,61,88,55,95,66,64
CG1815,5868,620,1037,900,905,1169,978
CG11550,1060,1,4,0,2,1,1
lncRNA:CR44091,366,0,1,0,1,0,0
lncRNA:CR45564,492,1,3,4,0,0,0
lncRNA:CR45565,751,1,2,0,0,1,0
lncRNA:CR45052,718,2,4,2,0,2,0
CG42693,408,1,3,0,0,0,0
lncRNA:CR34046,444,3,3,0,1,0,1
ttk,7557,950,1475,1206,1074,1366,1130
CstF50,1407,43,89,77,73,89,74
CG11563,831,86,149,106,134,133,122
eEF1alpha2,2656,4,8,10,3,1,4
CG1890,704,84,124,92,152,193,186
CG1896,835,40,59,43,67,76,73
awd,727,349,442,363,509,494,484
nero,1114,79,127,72,152,122,98
CG1910,3199,962,1308,1069,1407,1444,1210
salt,2114,4,2,3,18,8,3
mir-1014,68,0,0,0,0,0,0
CG2187,2580,8,9,9,1,0,0
lncRNA:CR44263,647,0,0,1,2,0,0
Smvt,1996,1,4,3,1,3,1
CG2150,1170,0,0,0,0,1,0
lncRNA:CR43436,667,0,2,2,0,1,0
asRNA:CR33945,1393,1,0,1,5,5,2
betaGlu,2331,48,62,49,175,212,152
sip3,2660,206,344,298,276,312,232
CG2126,1317,40,64,51,52,57,44
faf,10488,1435,2106,1780,2405,2375,1955
Mccc1,2920,147,201,117,307,319,264
Acf,5079,445,695,541,693,805,506
CG42233,3032,65,71,70,104,113,92
Ir100a,1812,1,7,2,5,3,2
CG1971,1278,3,3,2,15,10,4
Rift,2158,50,84,59,112,108,86
FeCH,1521,299,408,321,232,214,191
RhoGAP100F,13106,318,597,367,203,208,130
heph,12120,934,1505,1097,790,893,752
CG2003,2014,12,15,9,7,7,5
lncRNA:CR45556,761,2,4,3,0,2,0
CR46418,420,1,1,1,2,0,0
CG2053,1374,12,11,6,9,7,11
krz,5281,453,606,403,521,647,536
mod,2287,890,1112,1000,1259,1309,1177
Map205,6046,1389,1902,1542,2069,2263,2141
mthl8,3413,0,0,0,0,0,0
CG43149,879,148,252,168,81,67,32
Lsp1gamma,2501,280,473,264,43,29,14
lncRNA:CR44510,757,58,69,47,3,4,2
lncRNA:CR44511,539,51,75,45,5,2,2
lncRNA:CR43150,476,38,56,39,2,2,3
lncRNA:CR43988,670,113,144,96,5,6,12
CG13405,1326,206,273,218,13,21,6
CG12483,608,20,44,21,6,3,2
lncRNA:CR45401,412,1,4,0,0,1,0
lncRNA:CR45402,413,2,0,1,1,1,0
lncRNA:CR45400,346,0,1,1,0,0,0
Pdk1,6593,1513,2127,1710,2142,2104,2120
lncRNA:CR45805,842,39,66,58,188,175,207
CG6845,2294,230,309,296,444,506,409
Dic61B,2642,38,58,33,48,56,33
p130CAS,4099,872,1306,1034,1206,1267,1032
lncRNA:CR43151,394,10,19,14,12,14,8
CG7049,1117,0,1,0,1,0,1
asRNA:CR45806,967,0,0,0,0,0,0
Vdup1,2151,1,4,1,3,3,1
CG13875,2044,1,6,0,11,10,2
CG34140,1732,0,0,0,0,0,0
Mkp,1905,3,2,0,0,0,0
Mtch,1501,383,488,389,492,477,464
rno,11796,548,918,808,1178,1527,1221
mri,1739,157,213,169,201,231,198
Gk1,1940,120,167,127,193,172,141
NitFhit,1527,49,92,75,143,164,133
CG13876,1337,31,73,54,64,73,47
CG7028,3208,275,397,377,411,471,376
thoc7,929,61,107,85,117,118,114
Dis3l2,3605,316,505,394,407,497,393
Kaz1-ORFB,1276,8,17,16,12,15,9
Kaz1-ORFA,307,0,0,0,0,0,0
pyx,4046,5,5,2,2,1,4
CG13877,512,0,0,0,0,0,0
CG33229,1754,213,344,259,525,504,446
lncRNA:CR42862,5485,2468,3054,2857,4406,3833,3488
CG42846,564,4,3,2,5,4,3
CG34454,603,5,5,3,5,7,4
CG34453,705,7,9,2,4,4,1
E(bx),10072,1884,2708,2247,2373,2821,2452
mthl14,2091,631,813,577,749,668,719
DIP2,5932,954,1415,1218,1302,1393,1154
wac,853,85,115,66,94,76,84
Tudor-SN,3411,823,1107,949,1630,1562,1388
snoRNA:Tudor-SN-a,311,228,175,124,257,206,226
snoRNA:Psi18S-996,151,32,45,27,43,47,41
mRpL17,1092,65,101,93,105,113,113
CG34263,258,0,0,0,0,0,0
miple1,1997,6,10,8,28,28,15
miple2,1508,321,473,407,569,589,539
CG32845,1972,33,55,39,91,106,104
ttm2,1513,10,26,11,52,60,47
RhoGEF3,13467,569,883,813,1483,1586,1306
fwd,7436,524,815,714,1073,1107,1068
ddbt,633,3,7,3,17,12,8
CG32344,2694,409,584,541,534,611,465
Atac3,2354,95,106,103,111,106,87
Ptpmeg,4649,232,440,294,593,615,442
mthl9,2133,6,8,14,19,25,16
mthl10,4166,434,614,522,1001,1095,820
mth,2420,56,73,74,216,174,165
CG1231,1243,3,2,0,1,2,1
Cdc5,3346,224,349,297,352,428,297
Roc1b,506,0,0,0,0,0,0
CG1233,4064,145,226,186,303,331,281
CG13884,774,3,1,1,0,2,2
trh,5502,7,8,6,6,3,2
lncRNA:CR45378,1250,0,1,0,0,1,0
lncRNA:CR43969,706,0,2,1,0,1,1
CG13891,761,0,3,2,6,2,1
klar,11717,1666,2467,2062,2428,2516,2131
snmRNA:438,64,0,0,0,0,0,0
CG34267,375,1,7,7,6,8,11
CG34268,373,2,4,2,6,8,6
lncRNA:CR46002,527,0,5,5,6,6,7
lncRNA:CR45118,347,14,20,16,17,17,13
lncRNA:CR45117,459,14,7,10,13,18,15
CG34269,660,20,22,17,20,14,28
BORCS6,1184,24,33,26,41,34,23
Cypl,718,40,67,54,42,51,39
Hipk,11604,1639,2558,2256,2149,2594,2314
lncRNA:CR46249,630,4,3,3,13,8,9
lncRNA:CR45808,524,15,28,17,49,51,53
Ppm1,1422,0,0,1,1,0,1
Kah,2825,1,2,0,0,0,0
MED14,5513,427,624,538,674,671,596
CG13893,2198,12,25,19,36,30,40
asRNA:CR45807,1459,0,0,0,0,0,0
Reg-2,883,1,8,8,6,9,7
lncRNA:CR44513,442,1,2,2,6,11,2
lncRNA:CR42719,944,9,13,6,7,13,11
CG43337,1453,7,8,3,5,10,11
lncRNA:CR43334,15466,839,1146,839,858,924,812
lncRNA:CR43423,994,0,0,0,0,0,0
ban,81,0,0,0,0,0,0
Gale,1757,232,333,227,411,392,319
CG3402,1035,121,192,135,133,145,120
MED30,1103,39,61,49,44,68,45
Rev1,3244,119,190,112,146,124,120
CG17129,2379,56,86,72,26,23,17
CG3386,1780,24,55,51,75,87,62
ebd1,2329,147,255,224,247,272,192
hiro,1480,11,16,11,9,5,7
CG32483,1382,1,6,2,5,1,1
RabX6,1286,12,19,22,19,23,24
Vti1a,1370,22,39,37,36,44,28
CG13894,2193,4,10,6,5,2,0
lncRNA:CR44514,394,1,1,1,0,0,1
CG13895,1945,112,189,142,167,176,159
CkIIalpha-i3,1597,193,277,254,227,270,214
CG13896,1031,35,56,36,35,33,38
lncRNA:CR45411,315,11,21,16,0,0,0
lncRNA:CR43785,428,0,0,1,0,1,0
hng3,1529,14,29,16,11,10,2
tRNA:iMet-CAT-1-3,72,0,3,0,0,0,0
emc,2049,778,1007,892,529,549,634
tRNA:Ile-TAT-1-1,74,0,0,1,0,0,0
tRNA:Ile-TAT-1-2,74,0,1,0,0,0,1
CG13898,625,0,1,0,0,0,0
lncRNA:CR44537,1188,1,1,2,1,0,0
lncRNA:CR43883,754,0,3,1,2,1,1
Sf3b3,4329,462,630,494,786,728,695
lncRNA:CR45184,2649,0,0,0,0,0,0
snoRNA:Me28S-C788b,70,1,0,0,2,0,0
snoRNA:Me28S-C788a,72,0,1,0,3,2,2
snoRNA:Me28S-G3113b,84,1,0,1,1,1,0
snoRNA:Me28S-G3113a,80,0,1,0,3,3,0
snoRNA:Me5.8S-G74,71,0,0,0,0,0,0
snoRNA:Me28S-A771,75,8,11,6,29,43,27
snoRNA:Psi18S-110,139,43,49,28,46,60,57
snoRNA:Psi28S-3308,153,53,41,22,71,62,59
snoRNA:Psi18S-1086,148,55,55,21,63,64,67
CG42553,1251,38,66,44,43,46,37
CG42554,1023,20,42,19,56,59,76
CG13901,985,48,96,65,67,70,62
CG13887,1593,319,431,373,286,310,290
JMJD5,1330,48,56,62,61,64,61
Gr61a,1868,4,3,3,24,27,30
cep290,6441,3,3,4,9,15,10
Dci,1210,57,97,56,93,85,68
dpr20,2717,1,2,0,3,7,0
CG12502,3743,0,0,2,45,38,23
Usp10,8436,1928,2865,2527,2269,2615,2229
CG13907,4723,156,241,215,529,622,504
snoRNA:CG32479-b,221,58,59,30,61,63,58
snoRNA:CG32479-a,226,68,66,39,93,78,77
CG34056,1303,8,16,15,12,25,27
CG34057,1276,6,14,7,9,17,18
lncRNA:CR46200,441,0,1,0,0,0,0
CG13905,913,0,0,1,0,0,0
nerfin-1,3208,2,5,2,4,6,1
Glut1,10933,18,24,16,4,1,6
lncRNA:CR45809,703,0,0,0,0,0,0
lncRNA:CR45810,344,0,1,0,0,0,0
CG12038,1456,10,22,13,3,1,2
trio,11182,3966,5042,4577,3300,3337,3164
lncRNA:CR45811,1096,54,82,42,72,81,64
CG9205,1130,233,329,254,257,255,234
bab1,5340,34,79,47,59,30,34
bab2,5149,225,314,178,43,36,39
CG13912,818,5,4,2,8,7,4
Trh,2183,12,22,14,8,7,6
LysX,564,3,5,3,2,1,1
Aplip1,2411,10,19,12,11,6,6
mwh,4747,4,11,5,12,12,5
CG32335,1082,2,1,0,4,1,1
CG9119,1212,48,70,58,50,42,23
LysB,611,19,32,23,16,25,27
LysC,242,19,25,22,22,28,38
LysD,480,49,61,58,48,70,93
LysE,580,9,11,17,7,26,20
LysP,615,5,15,8,6,7,1
LysS,492,0,0,0,0,0,0
CG33965,1026,0,0,0,0,2,0
CG33966,1163,2,4,0,5,1,1
lncRNA:CR45747,231,1,0,0,0,0,0
CG9194,2974,0,0,0,1,1,2
CG9192,1187,1,1,1,0,0,0
Klp61F,3871,144,270,159,320,341,261
CG32318,785,0,0,0,0,0,0
Psf1,692,12,19,20,23,20,17
Sac1,2496,269,361,318,422,407,343
CG9129,1083,3,1,0,2,4,4
CG9130,3109,0,0,0,0,0,0
CG9133,3250,0,0,0,0,0,0
tfc,2634,0,0,0,0,0,0
CG32333,6432,0,0,1,1,0,0
Rabex-5,2373,110,162,126,135,156,154
scf,1600,32,52,27,51,63,62
Rac1,1805,505,711,602,603,603,507
CG9149,1439,87,151,125,162,167,127
CG2277,2569,59,79,43,82,69,60
Ctr9,3848,406,566,465,564,562,460
sturkopf,1550,63,104,78,117,119,125
Herc4,3835,394,647,500,653,685,531
Myo61F,3955,518,757,597,315,300,257
CG9184,966,5,17,2,10,11,7
lncRNA:CR45166,1032,9,5,8,14,14,8
ND-ACP,842,213,299,244,349,323,309
msd1,528,14,24,14,22,28,19
msd5,840,40,42,31,41,34,27
CG2211,1941,26,33,29,35,32,18
l(3)02640,2556,64,109,70,97,102,71
CG2199,2878,280,423,350,409,432,340
Ptp61F,6069,641,900,802,790,874,700
312,1618,47,76,57,73,86,66
ru,1798,0,2,0,0,0,0
tRNA:Glu-CTC-3-1,72,2,0,0,0,0,0
tRNA:Glu-CTC-3-2,72,0,1,0,0,0,0
tRNA:Glu-CTC-3-3,72,1,2,0,0,0,0
tRNA:Glu-CTC-3-4,72,0,0,0,0,0,0
tRNA:Glu-CTC-3-5,72,0,0,0,0,0,0
tRNA:Glu-CTC-3-6,72,0,0,0,0,0,0
tRNA:Glu-CTC-3-7,72,0,0,0,0,0,0
CG32320,2591,1,0,0,0,0,0
tRNA:Glu-CTC-3-8,72,0,0,0,0,0,0
tRNA:Glu-CTC-3-9,72,0,0,0,0,0,0
CG9168,1983,0,0,1,0,0,0
FucTD,1647,1,0,1,0,0,0
CG9173,2273,0,0,0,0,0,1
SA-2,3219,1,1,1,2,1,0
lncRNA:CR44842,1983,0,2,1,1,0,0
rho,3000,51,70,38,11,14,25
Naa30B,1211,1,0,0,0,0,0
stet,2550,2,9,4,0,0,3
robl62A,751,0,0,0,0,0,0
snmRNA:CR43701,93,9,17,4,12,14,19
snoRNA:Psi28S-2622,140,31,32,20,31,37,33
CG12084,3567,215,316,249,293,267,223
asRNA:CR45812,621,0,0,1,5,0,1
hfp,4856,355,654,537,833,908,637
scaRNA:MeU2-48,125,23,25,7,24,34,32
Psa,4221,891,1248,1140,1219,1170,976
cue,2801,171,267,187,554,511,426
Iml1,4923,331,515,446,553,646,534
Ir62a,1821,31,41,34,84,82,52
CG12091,1907,216,338,256,376,408,340
pns,5708,324,469,422,803,795,661
CG32313,752,0,0,0,3,1,1
Pcyt1,3257,292,386,308,542,503,467
asRNA:CR45813,453,5,5,5,12,13,10
Pcyt2,1697,3,2,3,23,10,20
CG12099,2935,155,219,195,629,589,555
Pex10,1487,26,56,34,39,32,54
CG7879,3804,124,160,150,235,295,186
CG12003,1807,4,4,3,36,19,14
CG12004,3706,459,631,479,535,537,466
CG13917,9032,369,620,530,525,588,432
CG12104,1435,74,118,91,78,100,84
CG18170,5663,0,0,0,0,0,0
CG33791,5663,0,0,0,0,0,0
CG12105,5106,4,0,4,7,11,9
CG13926,726,3,0,0,1,0,0
asRNA:CR45814,706,0,0,0,0,0,0
ABCB7,2743,146,257,214,283,264,234
CG33230,1754,75,121,111,102,95,78
GC,2685,2,7,7,4,3,5
CG13928,2587,58,105,74,42,38,39
nSyb,4072,10,17,8,22,27,25
metl,1240,63,116,90,87,106,86
Bgb,1242,13,32,25,30,23,35
alphaCOP,4078,585,848,694,1025,952,879
CG13919,517,21,32,33,27,35,23
CG17249,1534,67,95,78,75,80,71
Bro,744,0,0,0,0,0,0
asRNA:CR45815,988,0,0,0,0,2,0
CG13920,1292,3,1,0,13,9,12
Vta1,1257,108,194,157,190,236,191
CG7970,1281,90,137,106,137,138,115
CG7971,6510,745,1105,979,1034,1205,957
CG7974,1348,52,87,62,57,58,37
RpL23A,1321,847,924,835,1172,1117,1093
Uhg7,421,0,0,0,0,0,0
snoRNA:Me28S-A2634c,86,0,0,0,0,0,0
snoRNA:Me28S-A2634b,81,1,1,2,3,2,1
snoRNA:Me28S-A2634a,73,1,3,0,8,0,1
snoRNA:Or-CD15,97,0,0,0,0,0,0
RabX5,922,0,0,0,0,0,0
CG13930,2145,0,0,0,0,0,0
CG7991,4532,294,448,321,121,156,94
CG12011,1724,10,10,5,6,8,5
CG13931,1063,3,8,4,8,9,5
drpr,4757,1133,1624,1137,482,453,355
CG18171,2538,78,116,78,69,74,53
CG12035,1258,5,19,3,5,8,7
Oseg4,4131,22,32,21,14,18,14
PIG-Wb,2200,27,41,23,6,6,1
Gk2,2844,47,83,56,85,71,60
CG13921,5093,3,5,3,2,0,2
Cht2,3038,99,144,123,181,115,116
CG8001,2687,156,264,235,176,217,169
Dhc62B,12090,24,37,17,78,71,55
CG13933,3165,82,127,87,130,136,125
asRNA:CR44351,1504,0,0,0,0,0,0
CG12018,1387,118,161,126,97,105,81
CG2021,402,24,32,22,15,11,24
mRpL46,909,107,145,149,132,138,126
alpha-Spec,8347,3687,4229,4056,4276,3931,3853
asRNA:CR45834,406,14,25,15,23,25,26
dlt,4000,185,265,221,296,302,297
Cdc37,1611,256,327,265,365,384,363
asRNA:CR45818,419,0,0,0,0,0,0
CG12020,1242,2,1,0,0,2,2
Patj,3294,248,441,373,272,306,246
JTBR,849,20,44,18,30,32,26
CG42676,2889,44,85,81,87,98,51
asRNA:CR45686,890,0,0,0,0,0,0
lncRNA:CR45687,310,0,1,0,1,1,1
GV1,1311,0,1,0,0,0,1
Cpr62Ba,972,0,0,0,0,0,0
Cpr62Bb,992,0,0,0,0,0,0
Cpr62Bc,1134,0,0,0,0,0,0
CNMa,1900,0,1,2,2,2,0
CG12024,1822,52,82,61,115,130,122
Rap1,3012,1157,1506,1452,1290,1392,1310
HBS1,2360,226,329,273,230,222,187
CG12025,2839,124,194,136,225,219,203
CG13924,1513,6,9,10,14,11,2
dre4,3690,961,1227,1062,987,970,882
CG13937,2000,12,20,12,6,9,9
Aprt,1021,57,110,58,44,52,42
Tmhs,1647,62,90,93,448,398,412
dsb,4674,2,0,0,3,1,0
Dbx,2488,0,0,0,0,0,0
tRNA:Cys-GCA-2-1,72,0,0,0,0,0,0
lncRNA:CR45826,530,0,0,0,0,0,0
CG5687,3115,0,0,0,1,0,0
lncRNA:CR44536,1217,0,0,0,0,0,0
Mfap1,1682,79,165,165,119,130,122
mu2,4117,221,383,284,272,311,252
Cnb,2453,103,184,120,122,156,99
mv,11334,156,221,155,471,490,413
SCOT,2355,103,160,127,178,171,158
asRNA:CR45827,1143,1,2,0,2,7,1
asRNA:CR45828,488,0,0,0,0,0,0
CG1927,1224,185,267,188,276,305,273
CG11815,1010,5,3,0,0,1,0
CG1139,1578,6,5,2,3,6,3
CG42841,1131,0,0,2,1,1,0
lncRNA:CR44535,2030,3,3,2,0,0,0
CG42357,1350,1,3,1,0,0,0
CG42356,1270,0,1,1,1,0,0
CG34259,1281,0,0,2,0,1,0
CG42355,742,0,0,1,0,0,0
sls,58996,87,146,103,41,30,36
asRNA:CR42860,1461,1,0,0,0,0,0
zormin,12085,350,618,482,207,192,166
asRNA:CR45802,1009,0,2,0,0,0,1
CG15822,4713,62,89,49,8,10,6
CG15879,1389,20,27,23,32,26,23
CG5704,1289,33,48,42,57,49,38
CR15821,1021,1,2,1,1,0,0
CG15820,1183,1,3,1,0,0,0
CG13810,1552,2,2,1,0,0,0
CG5707,1759,26,53,25,67,49,80
CG8960,1042,2,4,5,3,6,10
CG15878,1631,0,0,0,4,6,1
Oseg2,5265,7,13,8,17,16,16
CG9018,1578,92,161,139,115,122,122
ACXD,4118,5,15,5,8,9,11
CG32301,3574,1,4,1,1,4,3
CG32305,3495,0,1,1,1,1,1
CG1275,2093,54,52,46,140,149,122
CG2034,1284,101,189,127,131,145,111
oxt,3380,96,149,81,142,130,114
CG13807,636,22,50,42,29,31,18
ecd,2204,89,129,148,153,150,146
CG13806,1175,0,0,0,1,0,1
asRNA:CR45829,839,0,0,0,0,0,0
obst-I,733,0,0,0,0,0,0
CG32302,1079,7,13,5,0,0,0
yellow-g,1344,0,2,1,2,1,0
tRNA:Cys-GCA-3-1,72,0,0,0,0,0,0
yellow-g2,1431,1,0,1,0,0,0
MsR2,2918,0,1,1,0,2,0
lncRNA:CR45427,470,0,0,0,1,0,0
lncRNA:CR45426,534,0,0,0,1,0,3
MsR1,3544,0,0,0,0,1,0
CG13801,2130,0,0,0,0,0,0
CG1317,4040,469,662,540,564,543,498
CG8993,616,99,169,153,134,153,138
mRpL23,699,92,137,95,114,111,120
CG9004,2708,175,304,293,252,319,220
CG15877,1018,48,90,82,110,111,97
Svil,24343,969,1616,1357,1244,1323,1177
Mzt1,386,1,3,2,4,2,3
CG32299,1254,0,0,0,0,0,0
CG32298,1205,0,0,0,0,0,0
CG16762,885,0,0,1,1,0,1
Cyp4d20,1817,2,1,1,5,5,2
CG1146,2357,185,220,190,541,531,700
CG16758,1985,1,4,7,13,6,12
lncRNA:CR45425,609,1,1,0,3,1,3
Spn,10266,481,751,632,873,1069,861
